Controlled_devices(W),Scope(reporting_type),PM_Setting(min),ComputerDeltaPower(W),Intervention_Setting (min),AVG_Idle_Percent,STDEV_Idle_Percent,AVGtotal_day idle percent,STDEV_total_day idle percent,AVGruntimesavedperday,STDEV_runtimesavedperday,AVGtotaldaysEstimate,STDEV_totaldaysEstimate,TotalRecordsProcessed
No Controlled Devices
0,AllDays,5,1e-09,180,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,1e-09,240,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,5,1e-09,300,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,1e-09,5,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,146.04476105156593,81.19389826007836,1.46044760986299e-10,8.119389852864236e-11,118
0,AllDays,10,1e-09,10,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,1e-09,15,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,1e-09,20,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,1e-09,25,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,1e-09,30,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,1e-09,35,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,1e-09,40,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,1e-09,45,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,1e-09,50,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,1e-09,55,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,1e-09,60,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,1e-09,120,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,1e-09,180,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
0,AllDays,10,1e-09,240,0.7843475687806889,0.1902369018714104,0.6335962627525047,0.32902915069680244,0.0,0.0,0.0,0.0,118
